"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient","l2fc.paired.median","median.paired.control","median.paired.patient"
"Bacteroides.Otu2216",13,0.9375,1,0.40625,-0.1875,0.0296371062560528,2.5255892827628,0.00119947785904005,0.00690669641037858,0,0,0
"Bacteroides.Otu1726",0,0.25,0.516949152542373,0.40625,-0.1875,0.664154524422207,-52,0.0117845195335809,0,0,0,0
"Phascolarctobacterium.Otu1814",15,0.9375,1,0.59375,0.1875,0.0296371062560528,-0.610405971872983,0.00408720899627638,0.00267717239679796,0,0,0
"Prevotella.Otu0882",9,0.84375,0.982626488095238,0.4375,-0.125,0.0804653642151458,0.108162748835859,0.00200868794983319,0.00216507380739713,0,0,0
"Prevotellaceae.Otu2503",6,0.4375,0.711666666666667,0.4375,-0.125,0.316972856667583,-0.632360808092929,0.00212944840103906,0.00137374950761174,0,0,0
"Ruminococcaceae.Otu1504",2,0.375,0.653571428571429,0.4375,-0.125,0.443573279509438,-1.56287912267354,0.00686037632726896,0.0023220653831528,0,0,0
"Klebsiella.Otu1452",11,0.4375,0.711666666666667,0.59375,0.1875,0.347226367427374,-3.3955707058725,0.00511006415283941,0.000485576563847805,0,0,0
"Prevotella.Otu0738",9,0.8125,0.981158088235294,0.46875,-0.0625,0.106080008173101,5.47138150766114,0.000157483978133777,0.00698692897197641,0,0,0
"Lactobacillus.Otu0959",2,0.75,0.948311237373737,0.46875,-0.0625,0.183966522559243,-7.147087999547,0.0100628418431312,7.09958196428455e-05,0,0,0
"Prevotella.Otu2501",13,0.6875,0.942415730337079,0.5,0,0.164217901506572,3.47627151939271,0.000280912570003587,0.00312631816074495,0,0,0
"Ruminococcaceae.Otu2510",0,0.25,0.516949152542373,0.40625,-0.1875,0.664154524422207,-52,0.00317547299117368,0,0,0,0
"Prevotella.Otu2666",4,0.875,0.997663551401869,0.4375,-0.125,0.0786553423050853,2.55678316608592,0.000594234736751867,0.00349644306607534,0,0,0
"Streptococcus.Otu0749",3,1,1,0.53125,0.0625,0,-5.36396650266613,0.00417881255787134,0.000101470097600492,0,0,0
"Catenibacterium.Otu2320",2,0.75,0.948311237373737,0.46875,-0.0625,0.183966522559243,-2.93776020578647,0.00306798603588776,0.000400404948853568,0,0,0
"Prevotella.Otu2702",2,0.75,0.948311237373737,0.46875,-0.0625,0.183966522559243,-6.09102859491876,0.00248137275329155,3.64006968355493e-05,0,0,0
"Prevotella.Otu2220",9,0.8125,0.981158088235294,0.46875,-0.0625,0.106080008173101,3.33058305821073,0.000248299404319321,0.00249793470115992,0,0,0
"Bacteroides.Otu2277",3,0.625,0.898110064338235,0.4375,-0.125,0.244388205557335,-4.09742522364371,0.00132569968036206,7.74456901443242e-05,0,0,0
"Megamonas.Otu1877",0,1,1,0.46875,-0.0625,0,-1.67454893482891,0.00566676334618603,0.00177519316693407,0,0,0
"Lactobacillales.Otu0504",1,1,1,0.53125,0.0625,0,45.242586188501,0,0.00924305951940049,0,0,0
"Bacteroides.Otu0801",0,1,1,0.46875,-0.0625,0,-52,0.00139719584181303,0,0,0,0
